

CSCI342    0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 1	 0	
CSCI1110    1	 0	 1	 1	 1	 1	 0	 1	 1	 3	 0	 3	 3	 2	
CSCI1121    0	 1	 0	 2	 2	 3	 2	 3	 3	 2	 0	 0	 2	 2	
CSCI1221    0	 1	 2	 0	 1	 2	 2	 2	 2	 3	 0	 1	 4	 4	
CSCI2110    0	 1	 2	 1	 0	 2	 1	 2	 2	 1	 0	 0	 1	 1	
CSCI2111    0	 1	 3	 2	 2	 0	 2	 3	 3	 2	 0	 0	 2	 2	
CSCI2112    0	 0	 2	 2	 1	 2	 0	 2	 2	 2	 0	 0	 2	 2	
CSCI2122    0	 1	 3	 2	 2	 3	 2	 0	 5	 4	 0	 0	 2	 2	
CSCI2132    0	 1	 3	 2	 2	 3	 2	 5	 0	 4	 0	 0	 2	 2	
CSCI2134    1	 3	 2	 3	 1	 2	 2	 4	 4	 0	 0	 3	 5	 4	
CSCI2141    0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
CSCI3171    1	 3	 0	 1	 0	 0	 0	 0	 0	 3	 0	 0	 3	 2	
CSCI3221    1	 3	 2	 4	 1	 2	 2	 2	 2	 5	 0	 3	 0	 5	
CSCI3421    0	 2	 2	 4	 1	 2	 2	 2	 2	 4	 0	 2	 5	 0	
