

CSCI1110    0	 1	 1	 2	 1	 0	 2	 1	 4	 0	 4	 3	 3	
CSCI1121    1	 0	 2	 2	 3	 2	 3	 3	 2	 0	 0	 2	 2	
CSCI1221    1	 2	 0	 1	 2	 2	 2	 2	 3	 0	 1	 4	 4	
CSCI2110    2	 2	 1	 0	 2	 2	 4	 2	 2	 0	 0	 1	 1	
CSCI2111    1	 3	 2	 2	 0	 2	 3	 3	 2	 0	 0	 2	 2	
CSCI2112    0	 2	 2	 2	 2	 0	 3	 2	 3	 0	 0	 2	 2	
CSCI2122    2	 3	 2	 4	 3	 3	 0	 5	 5	 0	 0	 2	 2	
CSCI2132    1	 3	 2	 2	 3	 2	 5	 0	 4	 0	 0	 2	 2	
CSCI2134    4	 2	 3	 2	 2	 3	 5	 4	 0	 0	 4	 5	 5	
CSCI2141    0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
CSCI3171    4	 0	 1	 0	 0	 0	 0	 0	 4	 0	 0	 3	 3	
CSCI3221    3	 2	 4	 1	 2	 2	 2	 2	 5	 0	 3	 0	 6	
CSCI3421    3	 2	 4	 1	 2	 2	 2	 2	 5	 0	 3	 6	 0	
